Case,Comparison,Reader1,Reader2,Pre/Post,Organ,Dice Score
Case_09,Expert vs Novice,Maria,Burcin,post,pancreas,0.8790145345079137
Case_09,Expert vs Novice,Maria,Onur,post,pancreas,0.8670313089400227
Case_09,Experts,Natally,Maria,post,pancreas,0.8652009771263602
Case_09,Novices,Burcin,Onur,post,pancreas,0.8480678343063665
Case_09,Expert vs Novice,Natally,Burcin,post,tumor,0.0
Case_09,Expert vs Novice,Natally,Onur,post,tumor,0.5462603878116343
Case_09,Expert vs Novice,Maria,Burcin,post,tumor,0.0
Case_09,Expert vs Novice,Maria,Onur,post,tumor,0.47835497835497837
Case_09,Experts,Natally,Maria,post,tumor,0.39314966492926284
Case_09,Novices,Burcin,Onur,post,tumor,0.0
Case_10,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7917393182218099
Case_10,Expert vs Novice,Natally,Onur,pre,pancreas,0.873152217339193
Case_10,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8238990000294977
Case_10,Expert vs Novice,Maria,Onur,pre,pancreas,0.8355345173354533
Case_10,Experts,Natally,Maria,pre,pancreas,0.8290115306751167
Case_10,Novices,Burcin,Onur,pre,pancreas,0.777961576887171
Case_10,Expert vs Novice,Natally,Burcin,pre,tumor,0.23013698630136986
Case_10,Expert vs Novice,Natally,Onur,pre,tumor,0.32994350282485874
Case_10,Expert vs Novice,Maria,Burcin,pre,tumor,0.5659574468085107
Case_10,Expert vs Novice,Maria,Onur,pre,tumor,0.704
Case_10,Experts,Natally,Maria,pre,tumor,0.3161764705882353
Case_10,Novices,Burcin,Onur,pre,tumor,0.6122448979591837
Case_10,Expert vs Novice,Natally,Burcin,post,pancreas,0.8036083630292308
Case_10,Expert vs Novice,Natally,Onur,post,pancreas,0.8839052173778459
Case_10,Expert vs Novice,Maria,Burcin,post,pancreas,0.8450451081311345
Case_10,Expert vs Novice,Maria,Onur,post,pancreas,0.8642698041007482
Case_10,Experts,Natally,Maria,post,pancreas,0.860616587060356
Case_10,Novices,Burcin,Onur,post,pancreas,0.7933486267601171
Case_10,Expert vs Novice,Natally,Burcin,post,tumor,0.4310226492793411
Case_10,Expert vs Novice,Natally,Onur,post,tumor,0.3801765105227427
Case_10,Expert vs Novice,Maria,Burcin,post,tumor,0.5484996510816469
Case_10,Expert vs Novice,Maria,Onur,post,tumor,0.6473429951690821
Case_10,Experts,Natally,Maria,post,tumor,0.48693586698337293
Case_10,Novices,Burcin,Onur,post,tumor,0.55810147299509
Case_12,Expert vs Novice,Natally,Burcin,pre,pancreas,0.8085245489407179
Case_12,Expert vs Novice,Natally,Onur,pre,pancreas,0.8632473213719648
Case_12,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8143325664496549
Case_12,Expert vs Novice,Maria,Onur,pre,pancreas,0.8593752393792227
Case_12,Experts,Natally,Maria,pre,pancreas,0.8380479783044589
Case_12,Novices,Burcin,Onur,pre,pancreas,0.7741935483870968
Case_12,Expert vs Novice,Natally,Burcin,pre,tumor,0.7377571008814887
Case_12,Expert vs Novice,Natally,Onur,pre,tumor,0.7754654983570646
Case_12,Expert vs Novice,Maria,Burcin,pre,tumor,0.796448449509674
Case_12,Expert vs Novice,Maria,Onur,pre,tumor,0.8508229098090849
Case_12,Experts,Natally,Maria,pre,tumor,0.7607125662012518
Case_12,Novices,Burcin,Onur,pre,tumor,0.8321931589537224
Case_12,Expert vs Novice,Natally,Burcin,post,pancreas,0.6568184102100292
Case_12,Expert vs Novice,Natally,Onur,post,pancreas,0.8125671477104446
Case_12,Expert vs Novice,Maria,Burcin,post,pancreas,0.6895222255820985
Case_12,Expert vs Novice,Maria,Onur,post,pancreas,0.8090222364081285
Case_12,Experts,Natally,Maria,post,pancreas,0.7991163092917479
Case_12,Novices,Burcin,Onur,post,pancreas,0.6394958670922334
Case_12,Expert vs Novice,Natally,Burcin,post,tumor,0.6141147338010731
Case_12,Expert vs Novice,Natally,Onur,post,tumor,0.644360124180752
Case_12,Expert vs Novice,Maria,Burcin,post,tumor,0.6452304394426581
Case_12,Expert vs Novice,Maria,Onur,post,tumor,0.6157130657557643
Case_12,Experts,Natally,Maria,post,tumor,0.5896003437902879
Case_12,Novices,Burcin,Onur,post,tumor,0.6037735849056604
Case_13,Expert vs Novice,Natally,Burcin,pre,pancreas,0.7916247083384502
Case_13,Expert vs Novice,Natally,Onur,pre,pancreas,0.8348314435270957
Case_13,Expert vs Novice,Maria,Burcin,pre,pancreas,0.8311392287295902
Case_13,Expert vs Novice,Maria,Onur,pre,pancreas,0.8384675750873939
Case_13,Experts,Natally,Maria,pre,pancreas,0.8460257670051315
Case_13,Novices,Burcin,Onur,pre,pancreas,0.7638255179377069
Case_13,Expert vs Novice,Natally,Burcin,pre,tumor,0.7089059923034634
Case_13,Expert vs Novice,Natally,Onur,pre,tumor,0.74
Case_13,Expert vs Novice,Maria,Burcin,pre,tumor,0.7522264631043257
Case_13,Expert vs Novice,Maria,Onur,pre,tumor,0.6352583586626139
Case_13,Experts,Natally,Maria,pre,tumor,0.7577177508269018
Case_13,Novices,Burcin,Onur,pre,tumor,0.5972703639514731
